source,time_s,time_ns,action,controller_state,hand_in_frame
"hand","1681247189","221191644","0","1","False"
"hand","1681247190","309542179","0","1","False"
"hand","1681247190","816926479","0","1","False"
"hand","1681247191","306373596","0","1","False"
"hand","1681247191","808442592","0","1","False"
"hand","1681247192","617691755","8","1","True"
"hand","1681247193","208856821","0","1","False"
"hand","1681247193","729630231","0","1","False"
"hand","1681247194","207255840","0","1","False"
"hand","1681247194","719056367","0","1","False"
"hand","1681247195","210273027","0","1","False"
"hand","1681247195","711035490","0","1","False"
"hand","1681247196","208386898","0","1","False"
"hand","1681247196","708807468","0","1","False"
"hand","1681247197","211192607","0","1","False"
"hand","1681247197","719923973","0","1","False"
"hand","1681247198","216627120","0","1","False"
"hand","1681247198","707586050","0","1","False"
"hand","1681247199","207116127","0","1","False"
"hand","1681247199","707064390","0","1","False"
"hand","1681247200","215359687","0","1","False"
"hand","1681247200","708807706","0","1","False"
"hand","1681247201","206624984","0","1","False"
"hand","1681247201","707361698","0","1","False"
"hand","1681247202","223532915","0","1","False"
"hand","1681247202","719035148","0","1","False"
"hand","1681247203","217972755","0","1","False"
"hand","1681247203","708820819","0","1","False"
"hand","1681247204","212829589","0","1","False"
"hand","1681247204","706954002","0","1","False"
"hand","1681247205","212510108","0","1","False"
"hand","1681247205","706711053","0","1","False"
"hand","1681247206","225319147","0","1","False"
"hand","1681247206","708213090","0","1","False"
"hand","1681247207","215631008","0","1","False"
"hand","1681247207","716334104","0","1","False"
"hand","1681247208","205273151","0","1","False"
"hand","1681247208","711673021","0","1","False"
"hand","1681247209","209585905","0","1","False"
"hand","1681247209","705338954","0","1","False"
"hand","1681247210","207276105","0","1","False"
"hand","1681247210","712285041","0","1","False"
"hand","1681247211","212243556","0","1","False"
"hand","1681247211","706311702","0","1","False"
"hand","1681247212","207452058","0","1","False"
"hand","1681247212","713597297","0","1","False"
"hand","1681247213","205521821","0","1","False"
"hand","1681247213","710543632","0","1","False"
"hand","1681247214","213589429","0","1","False"
"hand","1681247214","711313486","0","1","False"
"hand","1681247215","215697050","0","1","False"
"hand","1681247215","716890096","0","1","False"
"hand","1681247216","209713459","0","1","False"
"hand","1681247216","714462757","0","1","False"
"hand","1681247217","206012010","0","1","False"
"hand","1681247217","707451105","0","1","False"
"hand","1681247218","219970226","0","1","False"
"hand","1681247218","705927371","0","1","False"
"hand","1681247219","210884094","0","1","False"
"hand","1681247219","710114955","0","1","False"
"hand","1681247220","205346345","0","1","False"
"hand","1681247220","704523801","0","1","False"
"hand","1681247221","208900690","0","1","False"
"hand","1681247221","710282802","0","1","False"
"hand","1681247222","207370758","0","1","False"
"hand","1681247222","710713148","0","1","False"
"hand","1681247223","206321001","0","1","False"
"hand","1681247223","708027601","0","1","False"
"hand","1681247224","208105564","0","1","False"
"hand","1681247224","710363626","0","1","False"
"hand","1681247225","212151765","0","1","False"
"hand","1681247225","711336135","0","1","False"
"hand","1681247226","207180500","0","1","False"
"hand","1681247226","708709955","0","1","False"
"hand","1681247227","208414554","0","1","False"
"hand","1681247227","708985328","0","1","False"
"hand","1681247228","207386255","0","1","False"
"hand","1681247228","712099313","0","1","False"
"hand","1681247229","206409931","0","1","False"
"hand","1681247229","709511995","0","1","False"
"hand","1681247230","209072113","0","1","False"
"hand","1681247230","711058139","0","1","False"
"hand","1681247231","206556558","0","1","False"
"hand","1681247231","704616546","0","1","False"
"hand","1681247232","226298809","0","1","True"
"hand","1681247232","725040435","0","1","False"
"hand","1681247233","207210779","0","1","False"
"hand","1681247233","705976009","0","1","False"
"hand","1681247234","207116603","0","1","False"
"hand","1681247234","706642389","0","1","False"
"hand","1681247235","205042839","0","1","False"
"hand","1681247251","189458608","0","1","False"
"hand","1681247251","687363862","0","1","False"
"hand","1681247252","178429603","0","1","False"
"hand","1681247252","686404466","0","1","False"
"hand","1681247254","177249908","0","1","False"
"hand","1681247266","695880174","0","1","False"
"hand","1681247267","903109788","0","1","True"
"hand","1681247269","195561647","0","1","False"
"hand","1681247269","699513196","0","1","False"
"hand","1681247270","328120231","8","1","True"
"hand","1681247271","200086832","0","1","False"
"hand","1681247271","714797496","0","1","True"
"hand","1681247272","203632116","0","1","False"
"hand","1681247272","701520681","0","1","False"
"hand","1681247273","200704336","0","1","False"
"hand","1681247273","691743373","0","1","False"
"hand","1681247274","190929412","0","1","False"
"hand","1681247274","694276094","0","1","False"
"hand","1681247275","195265769","0","1","False"
"hand","1681247275","695625543","0","1","False"
"hand","1681247276","191990613","0","1","False"
"hand","1681247276","697259187","0","1","False"
"hand","1681247277","193738937","0","1","False"
"hand","1681247277","692854881","0","1","False"
"hand","1681247278","192369699","0","1","False"
"hand","1681247278","692191600","0","1","False"
"hand","1681247279","195752620","0","1","False"
"hand","1681247279","696524620","0","1","False"
"hand","1681247280","196244716","0","1","False"
"hand","1681247280","691137313","0","1","False"
"hand","1681247281","191910505","0","1","False"
