"source","time_s","time_ns","action","controller_state","hand_in_frame"
"gui","1681337400",852838993,2,1,""
"gui","1681337542",597064256,1,0,""
"gui","1681337545",269091129,1,0,""
"gui","1681337546",441656827,1,0,""
"gui","1681337547",464943885,1,0,""
"gui","1681337548",493826866,1,0,""
"gui","1681337549",555999994,1,0,""
"gui","1681337550",598811626,1,0,""
"gui","1681337551",636000394,1,0,""
"gui","1681337552",638326644,1,0,""
"gui","1681337553",578538894,1,0,""
"gui","1681337555",213126182,1,0,""
"gui","1681337556",439972162,1,0,""
"gui","1681337560",236948966,3,1,""
"gui","1681337564",4964351,3,1,""
"gui","1681337569",277108192,3,1,""
"gui","1681337575",309003829,1,1,""
"gui","1681337577",765176773,2,1,""
"gui","1681337579",244936466,2,1,""
"gui","1681337582",77168941,2,1,""
"gui","1681337582",805296897,2,1,""
"gui","1681337583",341228246,2,1,""
"gui","1681337583",861076593,2,1,""
"gui","1681337584",370086193,2,1,""
"gui","1681337584",663201570,2,1,""
"gui","1681337584",903237819,2,1,""
"gui","1681337585",39509773,2,1,""
"gui","1681337585",227005004,2,1,""
"gui","1681337585",370671272,2,1,""
"gui","1681337585",557040214,2,1,""
"gui","1681337585",712723493,2,1,""
"gui","1681337585",892475843,2,1,""
"gui","1681337586",111347198,2,1,""
"gui","1681337586",371123313,2,1,""
"gui","1681337586",981047630,2,1,""
"gui","1681337587",405119895,2,1,""
"gui","1681337587",571594476,2,1,""
"gui","1681337587",893155336,2,1,""
"gui","1681337588",116809129,2,1,""
"gui","1681337588",373100996,2,1,""
"gui","1681337588",757055521,2,1,""
"gui","1681337589",65555095,2,1,""
"gui","1681337589",765220403,2,1,""
"gui","1681337591",933262586,3,1,""
"gui","1681337603",45024156,4,0,""
"gui","1681337604",349149465,4,0,""
"gui","1681337604",581157207,4,0,""
"gui","1681337604",939611434,4,0,""
"gui","1681337605",503074645,4,0,""
"gui","1681337605",563772916,4,0,""
"gui","1681337605",602454185,4,0,""
"gui","1681337606",597156047,4,0,""
"gui","1681337606",860986948,4,0,""
"gui","1681337607",223687648,4,0,""
"gui","1681337607",349736690,4,0,""
"gui","1681337607",509282350,4,0,""
"gui","1681337607",874397993,4,0,""
"gui","1681337608",64476013,4,0,""
"gui","1681337608",423496961,4,0,""
"gui","1681337608",613544225,4,0,""
"gui","1681337608",952721118,4,0,""
"gui","1681337609",82401037,4,0,""
"gui","1681337609",197135925,4,0,""
"gui","1681337609",550707817,4,0,""
"gui","1681337609",733161687,4,0,""
"gui","1681337610",82636833,4,0,""
"gui","1681337610",624718189,4,0,""
"gui","1681337610",808432579,4,0,""
"gui","1681337611",140939950,4,0,""
"gui","1681337611",373066902,4,0,""
"gui","1681337611",747385740,4,0,""
"gui","1681337611",944474220,4,0,""
"gui","1681337612",344354152,4,0,""
"gui","1681337612",502787113,4,0,""
"gui","1681337612",886508464,4,0,""
"gui","1681337612",929371356,4,0,""
"gui","1681337612",978960275,4,0,""
"gui","1681337613",28078317,4,0,""
"gui","1681337613",90989828,4,0,""
"gui","1681337613",492229223,4,0,""
"gui","1681337613",673310041,4,0,""
"gui","1681337614",53832292,4,0,""
"gui","1681337614",162992238,4,0,""
